prompt,language,e5_neighbors,bridge_neighbors,dominant_regions,final_colors,closest_family,hard_negative,semantic_family_win,ru_en_agreement,seed_stability,count_stability,flags
red,EN,"[[""green"", 0.9044415354728699], [""black"", 0.8909128904342651], [""blue"", 0.8814313411712646], [""white"", 0.8740715980529785], [""hospital"", 0.8682425022125244]]","[[""красный"", 0.9763644337654114], [""чёрный"", 0.8764514923095703], [""акварель"", 0.8703858852386475], [""apple"", 0.8634575605392456], [""яблоко"", 0.8444103002548218]]","[""H≈56.2°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.59, C≈0.223""]",#D9243E #DB2443 #DA2441 #D92444 #DE2545,apple,sunset,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
blue,EN,"[[""white"", 0.8820309638977051], [""red"", 0.8814313411712646], [""black"", 0.8803120851516724], [""glass"", 0.8802986145019531], [""green"", 0.8762129545211792]]","[[""синий"", 0.8751035928726196], [""watercolor"", 0.8645818829536438], [""зелёный"", 0.8112905621528625], [""old paper"", 0.8088185787200928], [""moss"", 0.7808049321174622]]","[""H≈123.8°, L≈0.84, C≈0.113"", ""H≈101.2°, L≈0.71, C≈0.113"", ""NEUTRAL L≈0.84""]",#2A64E8 #3164E8 #2963EB #2965EA #3569E7,moonlight,rain,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
green,EN,"[[""red"", 0.9044415354728699], [""black"", 0.8800566792488098], [""blue"", 0.8762129545211792], [""rain"", 0.8747745752334595], [""glass"", 0.8740450143814087]]","[[""зелёный"", 0.9281141757965088], [""лист"", 0.9111309051513672], [""leaf"", 0.8922842741012573], [""трава"", 0.8666896820068359], [""constructivist poster"", 0.8526296019554138]]","[""H≈146.2°, L≈0.71, C≈0.113"", ""H≈146.2°, L≈0.59, C≈0.113"", ""H≈168.8°, L≈0.59, C≈0.113""]",#30C66B #30C37A #30C46C #30C572 #32C177,leaf,grass,False,,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE|COUNT_CHANGES_SEMANTIC_FAMILY
black,EN,"[[""red"", 0.8909128904342651], [""white"", 0.890533447265625], [""blue"", 0.8803120851516724], [""green"", 0.8800566792488098], [""rain"", 0.8794220089912415]]","[[""чёрный"", 0.9091777801513672], [""fragile optimism"", 0.8303905725479126], [""plum"", 0.8240614533424377], [""pear"", 0.8172853589057922], [""акварель"", 0.798730194568634]]","[""H≈33.8°, L≈0.46, C≈0.168"", ""H≈33.8°, L≈0.59, C≈0.223"", ""H≈33.8°, L≈0.46, C≈0.223""]",#010101 #010101 #010101 #020202 #020202,winter_forest_at_night,storm,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
white,EN,"[[""black"", 0.890533447265625], [""snow"", 0.8849365711212158], [""blue"", 0.8820309638977051], [""glass"", 0.8789450526237488], [""rain"", 0.878809928894043]]","[[""ward"", 0.9109860062599182], [""белый"", 0.9051762819290161], [""clinic"", 0.8639348149299622], [""стекло"", 0.8449281454086304], [""glass"", 0.8338947892189026]]","[""NEUTRAL L≈0.84"", ""H≈258.8°, L≈0.34, C≈0.057"", ""H≈213.8°, L≈0.71, C≈0.057""]",#DCDDDD #DEDEDD #DDDEDD #DEDEDE #DCDBDB,watercolor,fog,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
красный,RU,"[[""чёрный"", 0.8755638599395752], [""белый"", 0.8630750775337219], [""зелёный"", 0.8615268468856812], [""blue"", 0.8494277000427246], [""синий"", 0.8491511344909668]]","[[""red"", 0.9763644337654114], [""акварель"", 0.8569991588592529], [""чёрный"", 0.8501491546630859], [""apple"", 0.8359891176223755], [""rust"", 0.8238372206687927]]","[""H≈33.8°, L≈0.21, C≈0.057"", ""H≈56.2°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.59, C≈0.223""]",#D6233E #D92441 #DA2441 #D82343 #DD2543,apple,sunset,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
синий,RU,"[[""зелёный"", 0.8673346042633057], [""снег"", 0.8541313409805298], [""красный"", 0.8491511344909668], [""snow"", 0.8419046401977539], [""белый"", 0.8415855169296265]]","[[""blue"", 0.8751035928726196], [""old paper"", 0.8706998825073242], [""steel"", 0.8585694432258606], [""moss"", 0.8232825398445129], [""красный"", 0.7733252644538879]]","[""H≈101.2°, L≈0.71, C≈0.113"", ""H≈78.8°, L≈0.46, C≈0.113"", ""H≈101.2°, L≈0.84, C≈0.113""]",#2263EA #2865EA #2564EC #2067EA #2969E9,moonlight,rain,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
зелёный,RU,"[[""чёрный"", 0.8790688514709473], [""синий"", 0.8673346042633057], [""снег"", 0.8655635714530945], [""красный"", 0.8615268468856812], [""белый"", 0.8570879101753235]]","[[""green"", 0.9281141757965088], [""blue"", 0.8112905621528625], [""leaf"", 0.810542106628418], [""meadow"", 0.8003275394439697], [""лист"", 0.7863551378250122]]","[""H≈146.2°, L≈0.59, C≈0.113"", ""H≈168.8°, L≈0.34, C≈0.057"", ""H≈146.2°, L≈0.34, C≈0.057""]",#31C875 #31C378 #30C56E #31C574 #34C178,leaf,grass,False,,1.0,0.8,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE|COUNT_CHANGES_SEMANTIC_FAMILY
чёрный,RU,"[[""зелёный"", 0.8790688514709473], [""красный"", 0.8755638599395752], [""black"", 0.8551465272903442], [""белый"", 0.8449995517730713], [""синий"", 0.8400741219520569]]","[[""black"", 0.9091777801513672], [""red"", 0.8764514923095703], [""акварель"", 0.8564015626907349], [""красный"", 0.8501491546630859], [""fragile optimism"", 0.8446398973464966]]","[""H≈56.2°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.21, C≈0.057"", ""H≈33.8°, L≈0.59, C≈0.223""]",#010101 #010101 #010101 #020202 #020202,winter_forest_at_night,storm,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
белый,RU,"[[""красный"", 0.8630750775337219], [""зелёный"", 0.8570879101753235], [""лес"", 0.8474850654602051], [""blue"", 0.8467533588409424], [""чёрный"", 0.8449995517730713]]","[[""ward"", 0.9136130809783936], [""white"", 0.9051762819290161], [""стекло"", 0.8380945324897766], [""тихая тревога"", 0.8271021842956543], [""drizzle"", 0.8039802312850952]]","[""NEUTRAL L≈0.84"", ""H≈213.8°, L≈0.84, C≈0.057"", ""H≈258.8°, L≈0.34, C≈0.057""]",#DDDDDD #DEDFDE #DCDDDC #DDDDDD #D8D8D7,watercolor,fog,False,,1.0,1.0,ALL_SLOTS_SAME_VISUAL_CONTEXT|PALETTE_NEAR_DUPLICATE_COLLAPSE
